City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,roma,43.2128,-75.4557,-6.92,73,100,3.6,US,1739002870
163,barrancabermeja,7.0653,-73.8547,27.18,78,100,1.54,CO,1739003096
164,valga,57.7778,26.0473,-1.67,82,8,0.89,EE,1739003097
165,abra pampa,-22.7205,-65.697,9.55,61,95,2.68,AR,1739003098
166,puerto aysen,-45.4,-72.7,8.36,100,100,2.1,CL,1739003100
167,qaqortoq,60.7167,-46.0333,-10.03,61,100,8.81,GL,1739003101
168,santa marta de ortigueira,43.6833,-7.85,5.14,84,11,3.09,ES,1739003102
169,dewas,22.9667,76.0667,27.86,25,64,0.71,IN,1739003104
170,taroudant,30.4703,-8.877,8.54,45,0,0.35,MA,1739003106
171,cabo san lucas,22.8909,-109.9124,17.09,49,1,2.9,MX,1739002963
172,port erin,54.0849,-4.751,3.93,75,100,7.2,IM,1739003108
173,leua,48.2156,18.6071,1.52,53,100,7.26,SK,1739003109
174,xiulin,29.7167,112.4,5.89,17,9,4.07,CN,1739003110
175,olinda,-8.0089,-34.8553,22.85,94,40,0.0,BR,1739003112
176,brindisi,40.5833,17.6667,11.35,75,38,4.33,IT,1739003113
177,mahriz,31.5917,54.4318,2.98,89,98,1.73,IR,1739003114
178,klaksvik,62.2266,-6.589,5.84,76,55,10.2,FO,1739003115
179,new norfolk,-42.7826,147.0587,15.51,52,52,2.94,AU,1739002864
180,wynyard,-41.0,145.7167,17.88,78,100,1.79,AU,1739003031
181,miresu mare,47.5,23.3333,1.2,59,100,2.4,RO,1739003120
182,nenjiang,49.1833,125.2167,-14.14,90,100,1.9,CN,1739003121
183,nyurba,63.2842,118.3319,-25.38,93,97,3.65,RU,1739003122
184,wuchuan,21.4571,110.7659,17.28,43,65,3.98,CN,1739003124
185,nagqu,31.5,92.0,1.01,6,52,10.56,CN,1739003125
186,phalaborwa,-23.943,31.1411,30.44,32,3,3.91,ZA,1739003126
187,pervomays'kyy,49.3874,36.2147,-5.06,69,6,6.38,UA,1739003127
188,opuwo,-18.0607,13.84,25.03,56,29,0.94,NA,1739003128
189,arawa,-6.2132,155.5367,26.75,86,100,1.12,PG,1739003129
190,chipinge,-20.1883,32.6236,18.57,98,100,1.79,ZW,1739003131
191,dalbandin,28.8947,64.4101,21.05,14,7,5.32,PK,1739003133
192,yaren,-0.5472,166.916,27.1,79,43,4.9,NR,1739003134
193,taloqan,36.7361,69.5345,15.97,21,59,1.1,AF,1739003135
194,warrnambool,-38.3833,142.4833,16.5,84,100,8.67,AU,1739003137
195,tofol,5.3248,163.0078,27.44,79,63,7.8,FM,1739003138
196,lensk,60.7253,114.9278,-22.45,89,63,2.05,RU,1739003139
197,mata-utu,-13.2816,-176.1745,28.69,77,21,6.61,WF,1739003140
198,saldanha,-33.0117,17.9442,19.6,70,73,4.18,ZA,1739003141
199,gadzhiyevo,69.2551,33.3362,-3.94,94,48,5.17,RU,1739003143
200,erdenet,49.0333,104.0833,-15.44,87,39,1.02,MN,1739003144
201,bairnsdale,-37.8333,147.6167,18.36,96,100,3.58,AU,1739003145
202,selfoss,63.9331,-20.9971,-1.87,86,97,2.41,IS,1739003146
203,camocim,-2.9022,-40.8411,24.09,91,100,3.8,BR,1739003147
204,dunedin,-45.8742,170.5036,16.0,94,87,1.79,NZ,1739003101
205,mana,5.6592,-53.7767,24.52,88,100,4.23,GF,1739003149
206,coxim,-18.5067,-54.76,21.77,93,98,2.19,BR,1739003151
207,keflavik,64.0049,-22.5624,0.24,100,100,6.17,IS,1739003152
208,ta`u,-14.2336,-169.5144,28.95,71,16,5.36,AS,1739003153
209,haenam,34.5711,126.5989,-0.17,66,100,8.01,KR,1739003154
210,oranjemund,-28.55,16.4333,19.79,81,99,5.68,NA,1739003157
211,new yekepa,7.5794,-8.5378,20.42,49,11,0.21,LR,1739003158
212,hilo,19.7297,-155.09,19.72,93,0,2.57,US,1739002925
213,villa gesell,-37.2639,-56.973,23.36,70,3,9.43,AR,1739003081
214,touros,-5.1989,-35.4608,24.23,84,78,4.42,BR,1739003161
215,presque isle,46.6811,-68.0159,-8.88,77,0,3.13,US,1739003163
216,lata,40.1629,-8.3327,4.49,93,4,0.82,PT,1739003164
217,paradip garh,20.3167,86.6167,27.87,28,1,4.48,IN,1739003165
218,uturoa,-16.7333,-151.4333,28.09,68,30,2.67,PF,1739003167
219,happy valley-goose bay,53.3168,-60.3315,-10.83,79,75,4.63,CA,1739003169
220,kapoeta,4.7717,33.5903,33.53,28,27,4.33,SS,1739003171
221,paita,-5.0892,-81.1144,23.31,81,88,3.22,PE,1739003172
222,colby,39.3958,-101.0524,-1.67,95,100,4.12,US,1739003173
223,igarka,67.4667,86.5833,-8.61,95,100,9.22,RU,1739003053
224,minas de marcona,-15.2119,-75.1103,18.09,88,100,3.24,PE,1739003176
225,hirara,24.8,125.2833,13.15,62,75,11.32,JP,1739003177
226,gongzhuling,43.5008,124.8198,-10.88,85,96,3.7,CN,1739003178
227,sault ste. marie,46.5168,-84.3333,-12.84,78,0,2.06,CA,1739003179
228,taber,49.8167,-112.1518,-15.4,87,24,4.69,CA,1739003180
